tc1 in pagacc,tc2 in pagacc,tc3 in pagacc,mean-tc in pagacc,tc1 in fpole,tc2 in fpole,tc3 in fpole
-130.963571,131.446358,143.886591,144.369379,129.51899,-83.318446,2.621624
366.496603,-5.199665,384.284108,745.581052,207.870518,106.108079,119.174083
-13.665732,171.00632,56.375853,213.716442,-38.585569,28.647447,16.944432
-3.718454,190.956735,-153.506379,33.731901,87.019216,19.669958,30.977674
266.488073,27.202476,-46.431399,247.259146,256.032385,-58.937519,115.182883
-15.454202,-221.569159,128.208963,-108.8144,98.158205,172.70034,-92.076075
32.29127,60.071126,-94.942507,-2.580111,33.300261,153.502331,-55.708905
138.232746,240.157134,140.036399,518.42628,27.159879,-205.390025,87.275647
79.192754,79.869227,87.846839,246.908819,91.141734,-5.161489,64.538024
-31.840762,-27.429267,126.678446,67.408417,57.182392,-93.239448,-145.852546
54.572596,127.465359,246.378139,428.416093,25.606107,67.809216,176.170491
8.568902,-19.926873,158.084339,146.726371,262.285915,221.110201,56.794848
-232.054022,-175.567441,-122.693004,-530.314464,-16.464492,295.905988,116.276855
386.523301,-62.955465,-378.944392,-55.376557,781.986773,-248.044554,-139.720802
-188.718937,150.382277,-109.585716,-147.922375,-84.204718,-85.742562,71.174645
49.932158,31.990735,203.209953,285.132841,238.387579,-122.598658,84.564265
-146.836745,-39.950989,56.630695,-130.157037,6.633014,-62.979739,136.958489
26.414335,7.673414,-95.129114,-61.041365,177.230055,-138.474155,52.979558
47.913461,315.314349,-28.626941,334.600867,23.807157,217.073926,32.133162
73.550705,196.626455,93.936837,364.113996,26.60878,-216.016217,94.805914
79.048489,65.100896,137.178245,281.327631,27.180423,65.720925,80.006028
-82.992596,152.97033,326.557647,396.535384,0.41461,169.875084,-61.542296
240.013766,110.090828,209.874649,559.979233,2.328935,58.186306,41.996656
413.84613,74.131961,309.711742,797.689832,178.239948,-270.355478,262.417346
-241.406244,-40.107156,-4.515298,-286.028699,43.837329,136.675894,-7.224714
-138.981315,-63.035968,-58.729226,-260.746511,-216.280349,206.041554,47.696431
213.522201,566.007056,-27.89025,751.639,162.916678,274.257634,-67.586655
203.09522,81.546337,-34.428707,250.212852,212.091503,72.786811,-50.871456
115.446257,222.88098,-139.827511,198.499727,-165.882808,142.580335,-275.297373
-131.262159,-35.803434,-44.666452,-211.732042,-140.267634,-24.116535,-138.874795
228.679392,8.997833,-22.352034,215.325186,-210.185322,149.980844,169.025942
-31.10118,75.213315,126.660799,170.772936,97.881707,23.511949,195.756528
