Motor-S in pgACC,Motor-P in dmPFC
-3.760275,16.698742
-0.803132,15.754568
10.554031,26.766525
22.49129,-19.836662
-1.131462,26.984502
28.399773,32.308118
-8.049331,-8.960521
10.171467,16.150697
2.000593,26.221024
1.723114,-3.596799
2.966923,-19.004047
1.37404,-0.26166
-20.645715,-30.181486
-26.276143,4.597954
15.186812,-24.501331
-10.298924,-0.491374
-16.047828,-5.745
8.652424,-6.480617
5.411353,25.647324
-18.990294,-14.151426
-1.815858,-32.950577
5.16922,-1.986527
7.643711,21.776815
-19.505284,27.976404
19.340223,-15.284866
19.306484,10.245595
-11.041657,0.281936
7.452958,29.779085
47.234498,27.819452
-5.354454,5.357493
-34.971756,12.342999
-23.83122,2.643831
