S_cor,S_rt,P_cor,P_rt,S_rt_median,P_rt_median
0.79167,1.5856,0.79167,1.8164,0.91824,1.3702
0.75,2.1086,0.63542,2.2904,2.032,2.0448
0.72917,2.2207,0.70833,2.0811,1.7833,1.9615
0.85417,1.4301,0.69792,1.8238,1.0907,1.3682
0.64583,2.4822,0.61458,1.9428,1.2255,1.2885
0.83333,1.6495,0.875,1.5998,1.2685,1.3436
0.71875,2.8844,0.625,2.8331,2.3248,2.4498
0.72917,1.2682,0.72917,1.2784,1.0916,1.162
0.89583,3.1581,0.86458,3.5936,2.8221,3.107
0.8125,1.0183,0.69792,1.2259,0.77834,0.99731
0.76042,1.809,0.80208,2.1133,1.6848,2.0955
0.65625,1.9858,0.63542,1.995,1.4362,1.7086
0.6875,1.7689,0.6875,1.9511,1.4382,1.3443
0.63542,1.2501,0.64583,1.3195,0.98902,1.0572
0.75,3.0871,0.72917,3.1998,2.7962,2.8779
0.63542,2.4453,0.77083,2.3538,2.2732,2.0128
0.5625,1.3361,0.76042,1.4225,1.119,1.2276
0.8125,1.3123,0.8125,1.6386,1.0412,1.3238
0.8125,1.7861,0.79167,1.8758,1.607,1.4231
0.82292,2.0283,0.73958,2.2067,1.7186,1.9565
0.52083,2.446,0.54167,1.9716,1.6256,1.3163
0.64583,2.3125,0.625,2.972,1.6433,2.221
0.8125,2.4656,0.84375,2.7962,1.829,1.9991
0.70833,2.3526,0.69792,2.5232,2.1238,2.2095
0.89583,2.149,0.89583,2.4155,1.9201,2.2456
0.70833,1.7677,0.65625,2.2737,1.3487,1.8536
0.79167,3.564,0.83333,3.8566,3.4629,3.5554
0.80208,2.2545,0.63542,2.3542,1.9699,2.1781
0.83333,2.0136,0.72917,1.9855,1.6409,1.8022
0.625,1.6086,0.67708,1.5185,1.0757,1.3355
0.69792,2.1373,0.52083,2.2703,1.4692,1.5928
0.82292,2.0711,0.79167,2.3123,1.7304,1.9567
0.71875,2.5462,0.625,2.2709,2.2464,1.9774
0.89583,1.6245,0.91667,1.6571,1.4525,1.3749
0.73958,1.413,0.73958,1.5014,1.1846,1.161
0.6875,1.5232,0.57292,1.6926,1.1988,1.4228
0.82292,1.6277,0.72917,1.8548,1.2755,1.5746
0.63542,2.1716,0.71875,2.2477,1.7158,1.9756
0.75,2.5661,0.69792,3.2764,1.3882,1.472
0.75,3.8308,0.71875,4.6225,2.9263,4.1791
0.91667,2.0045,0.91667,2.1294,1.7161,1.8426
0.9375,2.2447,0.95833,2.422,1.5052,2.1169
0.8125,2.287,0.80208,2.4873,2.1279,2.3253
0.72917,1.5703,0.70833,1.6919,1.2003,1.2166
0.82292,2.3407,0.77083,2.8344,2.143,2.6416
0.78125,3.3357,0.73958,3.3319,3.1227,3.0427
0.82292,2.7327,0.78125,3.4465,2.2187,2.7809
0.77083,1.6106,0.71875,1.8827,1.3617,1.8084
0.6875,1.935,0.59375,2.1261,1.3974,1.8245
0.80208,2.7001,0.88542,2.6347,2.4036,2.1898
0.69792,3.479,0.72917,4.2763,2.3282,2.9315
0.77083,2.312,0.72917,2.5314,1.9467,2.1779
0.78125,1.8343,0.75,2.0037,1.5319,1.504
0.625,2.5531,0.64583,2.4598,2.1538,2.0397
0.67708,1.9385,0.72917,2.1468,1.5441,1.7962
0.83333,1.5803,0.89583,1.5382,1.1335,1.2346
