dev-full,dev-partial,acc-full,acc-partial
171.58,171.71,0.68067,0.6797
218.78,222.1,0.62827,0.62268
212.46,210.13,0.63988,0.63947
185.5,191.32,0.66618,0.65627
230.96,229.47,0.62092,0.61843
174.78,172.76,0.68782,0.68602
242.82,241.27,0.6102,0.60859
213.42,217.57,0.63567,0.62937
167.55,166.42,0.69102,0.69286
189.79,193.73,0.66587,0.65762
171.92,175.8,0.67753,0.67354
255.44,261.08,0.59644,0.58853
235.32,229.9,0.61893,0.62139
210.14,207.54,0.64174,0.6411
210.39,209.84,0.64172,0.64182
213.04,213.37,0.64781,0.64308
219.87,221.85,0.63405,0.62858
181.73,183.32,0.67677,0.67377
191.18,194.83,0.65354,0.64792
194.69,193.52,0.65502,0.65619
270.81,271.51,0.58092,0.57902
232.05,231.66,0.61903,0.61757
170.31,178.43,0.68248,0.67287
223.69,221.53,0.62612,0.62421
168.92,171.44,0.68194,0.6774
216.15,221.05,0.64752,0.64161
174.04,175.83,0.67781,0.67239
191.71,193.69,0.65605,0.65215
213.24,213.68,0.6394,0.63908
245.84,254.4,0.59957,0.58977
317.76,304.14,0.55,0.55703
174.84,177.89,0.67286,0.66949
251.59,253.37,0.5985,0.59401
146.44,148.99,0.71348,0.70822
206.04,207.57,0.64968,0.64415
233.38,233.47,0.6112,0.60834
190.14,191.97,0.66546,0.6616
227.19,230.42,0.62234,0.61916
208.09,221.97,0.63978,0.6268
220.45,220.38,0.62926,0.62664
144.43,144.65,0.71057,0.71006
136.47,135.74,0.72483,0.72461
205.55,204.18,0.65212,0.65106
202.35,200.92,0.64486,0.64255
172.87,178.34,0.67371,0.66819
200.62,205.02,0.65906,0.65108
156.04,163.09,0.69998,0.68875
185.37,187.6,0.66617,0.66009
280.51,285.61,0.57476,0.56773
165.62,164.62,0.68397,0.68301
211.64,212.29,0.63763,0.63538
183.62,183.18,0.67657,0.67374
202.31,203.27,0.64843,0.64408
258.6,258.3,0.60849,0.60386
218.88,221.01,0.63701,0.62917
172.78,182.53,0.68648,0.67195
