Sglm-c,Sglm-pcodexF,Sglm-scodexF,Sglm-bonus,Pglm-c,Pglm-pcodexF,Pglm-scodexF,Pglm-bonus
0.19542,1.986,1.2133,1.8088,-0.32766,1.1848,0.84808,1.4496
0.23522,1.1706,0.96378,0.30238,-0.27101,1.042,0.097702,0.90299
-1.0199,0.57893,0.98764,1.0655,-0.16411,0.98093,0.3254,1.0677
0.78118,2.4595,1.8517,0.64149,-0.80654,1.406,0.23928,0.70397
0.0018712,0.67912,0.25071,1.986,0.35677,1.0266,-0.70961,2.803
-0.20457,1.2288,1.1952,0.9444,-0.72937,1.4282,1.3072,0.91873
-1.2864,0.76091,1.0156,0.30691,-2.5167,1.4637,0.21651,0.62661
0.13324,1.1898,0.64974,0.17928,-0.95418,1.2997,0.65649,0.64467
0.33692,1.7678,1.844,0.90792,0.098936,1.5309,1.244,0.84132
-0.71786,1.3902,0.75341,0.59789,-0.19547,1.5716,0.62945,0.62986
-0.32693,1.2583,1.1803,1.001,-1.5948,2.8204,1.4191,1.5964
0.44868,0.73355,0.36824,0.35391,0.46432,1.237,0.038857,0.25024
-0.75803,0.57728,0.80832,0.39541,-1.5163,0.92279,0.76924,0.74992
-1.1256,0.49514,0.78992,1.8527,0.65382,0.61997,0.16241,1.9253
0.29897,0.91706,0.92474,0.50666,-0.13106,1.0577,0.49852,0.62477
-0.38494,0.66783,0.17732,0.80212,-0.32739,0.80496,0.70802,1.2447
0.6105,0.69839,0.22671,1.3942,0.19581,0.83517,0.63724,1.6164
1.0191,2.0435,1.3149,0.63783,0.2687,1.3922,0.70971,1.1652
-0.16029,1.5044,0.92962,0.7864,0.57966,1.7343,1.062,0.68433
-0.24937,1.4922,1.6433,1.2351,0.38871,0.97549,0.87146,0.5352
-1.8738,0.067565,-0.35116,2.0592,-1.2337,0.235,-0.12395,1.9447
-0.2333,0.5988,0.084543,0.95328,-0.47394,0.22983,0.61505,1.112
0.14532,2.1133,0.60077,0.96596,0.15313,2.2327,1.0677,1.3984
-0.15325,1.0498,0.67855,0.76057,-1.1274,0.7702,0.55948,0.76884
0.40223,2.0194,1.7338,0.92627,0.41515,2.4208,1.7674,0.93598
0.17145,1.7126,0.37986,2.2703,0.36948,0.33517,-0.048094,1.2823
-0.21698,1.9254,1.1579,0.93116,-0.38829,1.9431,1.6651,0.46345
0.31775,2.1086,1.3664,1.3837,-0.16512,0.69473,0.44175,1.0795
0.25899,0.77761,1.0139,0.54602,0.68477,1.1844,0.67039,1.0984
1.1417,1.2088,0.30387,0.10993,0.54297,1.4364,0.43514,0.62434
-0.24255,0.11983,0.76391,0.21911,-0.0011005,-0.20049,0.39362,-0.060671
0.8645,2.0591,1.4979,1.881,0.1176,1.6201,0.89433,1.6282
0.05208,0.86927,0.57751,0.44827,0.58933,0.55089,0.54595,0.10263
-0.70862,3.0152,2.2057,1.7228,-0.40197,2.6736,1.8011,1.1369
-0.72649,1.0592,0.5047,0.99238,-1.3859,0.80944,0.74298,1.0932
0.68992,1.1175,0.66495,0.99997,0.32454,0.46267,0.35231,0.5835
-1.6666,2.0092,1.6475,1.3033,-1.1575,1.4399,0.68988,0.097646
0.34183,0.51756,0.2905,1.1487,1.168,1.4414,0.6574,1.0312
-0.73252,2.5505,0.88361,0.16352,-0.70423,2.2222,-0.10509,0.50606
0.43551,0.99831,0.66597,0.62634,-0.13809,0.95096,0.87574,0.32785
-1.45,5.5003,4.7169,1.9677,0.19479,3.2168,2.6717,1.1659
0.54269,3.4613,3.674,1.775,0.27101,4.1761,3.2762,2.0413
-0.71664,1.1094,1.0508,0.77002,-0.3557,0.9781,1.2395,0.051922
-0.56319,1.1213,1.0761,1.0436,-1.2695,1.1911,1.4798,0.30686
-0.29793,1.7677,1.3608,1.4795,0.15745,1.7709,0.84997,1.2787
0.4202,1.4825,1.0114,0.70717,0.04281,1.2805,0.46474,0.2276
0.50969,2.6809,0.86021,2.2777,-0.49773,1.6001,1.084,1.3157
-0.56105,1.8197,1.8606,0.63096,-2.183,2.2029,0.505,0.80125
-0.24605,1.4775,0.89109,-0.24738,0.2828,0.83813,0.35151,-0.98548
-0.54568,1.6754,1.6285,0.8457,0.24997,2.3493,2.3942,1.4918
0.031777,0.74543,0.59954,0.81494,-0.33154,0.80783,0.6797,1.2274
-0.26736,1.4103,1.0596,1.3149,-0.23564,0.71418,1.0854,0.89789
-0.41684,1.5127,1.1442,0.22535,0.19397,1.1243,0.99556,0.20206
0.0086829,0.40132,0.17494,1.166,-0.0032704,0.42077,0.064554,0.81755
0.26891,0.99542,0.46794,0.39934,0.12993,1.0503,0.82937,0.35623
0.17642,1.9656,0.9056,-0.023487,-0.31794,3.922,0.85652,1.1569
