rdm,ss,pp,o1,o2,swin,gwin
0.69444,0.68634,0.6412,0.70602,0.63773,0.51042,0.47917
0.64095,0.62847,0.70602,0.68287,0.63889,0.47917,0.52083
0.54835,0.56019,0.63079,0.62153,0.62616,0.48958,0.47917
0.72428,0.71528,0.65509,0.70718,0.71528,0.52083,0.47917
0.5679,0.5787,0.62616,0.55903,0.62963,0.5,0.51042
0.52778,0.53472,0.53935,0.52315,0.55208,0.5,0.47917
0.72428,0.71296,0.65625,0.71065,0.7037,0.5,0.53125
0.60802,0.60764,0.53935,0.57986,0.56134,0.47917,0.48958
0.78189,0.77315,0.70718,0.73264,0.73727,0.52083,0.51042
0.72222,0.71181,0.77546,0.71412,0.71412,0.47917,0.5
0.61626,0.62269,0.54398,0.57755,0.61806,0.48958,0.47917
0.61728,0.61574,0.61574,0.53819,0.61574,0.52083,0.51042
0.65638,0.64699,0.63079,0.71296,0.62847,0.52083,0.47917
0.55041,0.56366,0.59606,0.49074,0.60532,0.5,0.52083
0.60597,0.61574,0.61574,0.56366,0.64236,0.51042,0.51042
0.56687,0.58102,0.56134,0.54745,0.59144,0.52083,0.5
0.63169,0.62269,0.55093,0.61806,0.58449,0.5,0.52083
0.60597,0.60995,0.5787,0.62153,0.54745,0.51042,0.5
0.46708,0.47801,0.5544,0.54051,0.52083,0.5,0.48958
0.54012,0.55556,0.59606,0.61921,0.47917,0.5,0.5
0.46502,0.47454,0.52662,0.47454,0.52199,0.48958,0.51042
0.54424,0.56019,0.54977,0.48148,0.59491,0.5,0.5
0.68827,0.67477,0.61574,0.64236,0.61806,0.48958,0.52083
0.70267,0.69329,0.62153,0.64236,0.69329,0.51042,0.47917
0.65123,0.64005,0.67708,0.61921,0.69097,0.51042,0.48958
0.52263,0.53819,0.53704,0.53819,0.47917,0.51042,0.51042
0.54835,0.55787,0.48032,0.53472,0.55324,0.5,0.5
0.61111,0.60185,0.55787,0.53704,0.63426,0.51042,0.5
0.51337,0.52894,0.59954,0.53704,0.52894,0.52083,0.48958
0.48765,0.50116,0.51157,0.5,0.53704,0.52083,0.47917
0.52572,0.53819,0.52315,0.59375,0.5,0.5,0.5
0.58848,0.59375,0.54051,0.59954,0.52894,0.51042,0.51042
0.71399,0.70602,0.66204,0.69792,0.70602,0.5,0.47917
0.69856,0.68287,0.66204,0.62037,0.70139,0.51042,0.48958
0.56893,0.58565,0.53819,0.58565,0.53241,0.5,0.48958
0.56481,0.57407,0.57176,0.54167,0.57407,0.52083,0.48958
0.47942,0.48843,0.55903,0.51505,0.48843,0.48958,0.51042
0.50412,0.52083,0.55324,0.57639,0.48843,0.48958,0.48958
0.63889,0.62616,0.62616,0.6875,0.57986,0.5,0.51042
0.59053,0.59491,0.6169,0.5162,0.62963,0.5,0.52083
0.54321,0.5544,0.57523,0.62847,0.51736,0.52083,0.5
0.64712,0.63426,0.60648,0.56019,0.63542,0.5,0.5
0.61008,0.59722,0.59722,0.55093,0.63773,0.48958,0.48958
0.49486,0.50694,0.5787,0.53356,0.53819,0.5,0.48958
0.59053,0.59259,0.60069,0.55671,0.63542,0.51042,0.47917
0.58951,0.59259,0.5544,0.59259,0.59028,0.51042,0.5
0.67181,0.66088,0.60532,0.60648,0.62153,0.47917,0.47917
0.71193,0.69676,0.61921,0.68287,0.66088,0.51042,0.5
0.48354,0.49306,0.53009,0.49306,0.49421,0.52083,0.52083
0.59259,0.59491,0.65741,0.59606,0.59491,0.46875,0.5
0.62551,0.61227,0.60648,0.60301,0.65856,0.47917,0.5
0.53395,0.54514,0.58218,0.61806,0.49653,0.5,0.48958
0.55041,0.56481,0.5787,0.54745,0.61458,0.48958,0.51042
0.62037,0.60995,0.56597,0.55093,0.61458,0.52083,0.51042
0.51955,0.52894,0.53704,0.58218,0.52894,0.5,0.52083
0.53395,0.54514,0.54514,0.53472,0.60764,0.48958,0.48958
