vds-c,vds-vd,vdp-c,vdp-vd,vdg-c,vdg-vd,vdsrel-c,vdsrel-vd,vdprel-c,vdprel-vd,vdgrel-c,vdgrel-vd
0.07807,1.0666,-0.11937,0.82456,-0.31444,0.52319,0.11418,3.8625,-0.13514,2.9386,-0.33265,3.8127
0.22601,0.7447,-0.27754,0.41459,0.24972,0.7034,0.22155,2.8733,-0.28457,1.4944,0.26501,5.2454
-0.58471,0.68291,-0.063583,0.51296,-0.63123,0.61097,-0.60401,2.3353,-0.10814,1.6816,-0.64222,4.3838
0.38878,1.5846,-0.64154,0.68058,-0.075035,0.63067,0.39906,6.4936,-0.61209,2.411,-0.056004,5.216
-0.017803,0.38403,0.05029,0.2282,-0.14995,0.22497,-0.011831,1.0023,0.043121,0.83242,-0.15927,1.5647
-0.094647,0.89785,-0.60103,0.96562,0.063087,0.69917,-0.096233,2.4488,-0.57355,2.5122,0.069666,4.3842
-1.1682,0.67619,-2.1474,0.64265,-0.99769,0.44262,-1.108,2.2339,-2.0398,2.0474,-0.94679,3.0175
0.092659,0.73814,-0.80442,0.73431,-0.25021,0.52608,0.12848,2.1185,-0.77277,2.0579,-0.25231,3.4564
0.053419,1.376,0.23148,1.0726,0.018567,1.3646,0.057092,5.6136,0.17776,4.0729,-0.0028103,11.99
-0.6961,0.90479,-0.39426,0.8556,-1.2821,0.71418,-0.70054,3.6459,-0.37188,3.6183,-1.2234,5.5061
-0.23654,1.0154,-0.92048,1.1746,0.31438,0.95379,-0.23388,3.0877,-0.87528,3.4511,0.2963,6.3597
0.39892,0.41207,0.3301,0.41212,0.09852,0.39495,0.4143,1.3758,0.32992,1.3011,0.10733,2.5549
-0.75762,0.5161,-1.4561,0.70084,-0.86901,0.48964,-0.72181,1.5458,-1.4053,2.2256,-0.83409,3.4243
-0.6685,0.55826,0.31898,0.44516,-0.21414,0.33829,-0.73063,1.6805,0.33955,1.363,-0.20763,2.2453
0.17077,0.6939,-0.13271,0.66991,0.20076,0.62553,0.1873,2.1011,-0.13963,2.4337,0.19701,4.2041
-0.34736,0.46863,-0.2011,0.66506,-0.046742,0.48907,-0.35348,1.5717,-0.2007,2.0732,-0.030999,3.2011
0.50903,0.35823,0.27404,0.58603,0.61831,0.25092,0.49947,1.1441,0.24895,1.479,0.6105,1.6012
0.73252,1.1494,0.22311,0.86677,0.1326,0.71941,0.72861,3.8368,0.18463,3.0507,0.1309,4.9581
-0.093276,0.88631,0.51563,0.96926,0.4691,0.74697,-0.17667,2.3255,0.47706,2.8298,0.45632,4.7315
-0.30101,1.0399,0.31935,0.68572,0.12981,0.58757,-0.37778,3.4848,0.28772,2.1926,0.085454,4.0646
-0.95915,0.1147,-0.63851,0.23192,-0.66264,0.2608,-0.95686,0.25988,-0.65019,0.52534,-0.64019,1.1282
-0.17208,0.36534,-0.37019,0.44243,-0.39852,0.29381,-0.14274,1.2073,-0.40354,1.1852,-0.39852,1.7274
0.032166,0.96113,0.083127,1.1387,0.056223,0.73482,0.0094617,3.3234,0.057464,4.2695,0.043327,5.5167
-0.12253,0.60412,-0.90856,0.57149,-0.37346,0.82825,-0.094494,2.0509,-0.89506,1.9559,-0.36187,6.3303
0.35231,1.3408,0.12952,1.3679,0.47899,1.1675,0.33121,4.4512,0.12575,5.1662,0.44809,8.7363
-0.0066235,0.67828,0.22417,0.26351,-0.097067,0.55439,0.0017916,1.8443,0.22529,0.83092,-0.071615,3.1231
-0.21615,1.0307,-0.019445,1.1611,0.070409,0.74921,-0.21833,3.0427,-0.0061334,3.0745,0.076665,4.6709
0.21275,1.0341,-0.13221,0.42887,0.40962,0.48511,0.23247,3.0562,-0.15954,1.1013,0.39726,3.0128
0.18166,0.72428,0.439,0.73734,0.35338,0.64177,0.11531,2.1711,0.40162,2.2206,0.31241,3.7842
1.0492,0.5554,0.48894,0.63623,1.0332,0.56698,1.0149,1.3366,0.46034,1.666,0.991,3.1646
-0.20388,0.33724,0.0046771,0.04499,-0.29628,0.28787,-0.21144,0.92589,0.0069991,0.22878,-0.31187,1.7257
0.31495,0.92808,0.25239,0.86736,0.033304,0.83124,0.30005,3.0505,0.2239,2.2652,0.027852,5.3645
-0.015646,0.60366,0.64155,0.42969,0.11628,0.15407,-0.0068606,2.096,0.66336,1.5914,0.1158,1.1606
-0.48537,1.5348,-0.37581,1.3935,-0.37592,1.4114,-0.46229,5.9285,-0.37615,5.4397,-0.3369,10.752
-0.61977,0.69667,-1.2662,0.66712,-1.1375,0.64008,-0.5887,1.8726,-1.2335,1.725,-1.1375,3.8517
0.55577,0.74363,0.32323,0.31367,1.1073,0.5963,0.53116,2.351,0.3333,0.79845,1.1206,3.9983
-1.1897,1.4017,-1.382,0.79032,-0.69552,0.64041,-1.0458,3.4172,-1.3004,2.0102,-0.67191,3.7217
0.24348,0.41808,1.054,0.85114,0.99129,0.5162,0.25332,1.4285,0.97937,2.4522,0.98099,2.9675
-0.32995,0.8491,-0.37448,0.49431,-0.47818,0.63159,-0.30999,3.0517,-0.38063,1.5902,-0.47355,4.333
0.34339,0.63929,-0.21938,0.67246,0.032498,0.40847,0.3279,2.1986,-0.21488,2.1322,0.040041,2.775
-0.42351,2.0614,0.22857,1.667,-0.16303,1.2421,-0.36801,6.2763,0.22412,5.4629,-0.14693,8.3289
0.21324,1.8258,0.16616,1.9533,-0.47583,1.5013,0.16604,5.9014,0.15495,6.5476,-0.45404,10.715
-0.66829,0.86967,-0.4436,0.76414,-0.56351,0.92191,-0.6376,2.8547,-0.41735,2.6375,-0.57379,6.4007
-0.33223,0.85986,-1.2832,0.99885,-1.5706,0.79519,-0.3672,1.9933,-1.2256,2.8727,-1.5462,4.7825
-0.14641,1.1355,0.13247,0.80915,0.3457,1.078,-0.22729,3.5588,0.099033,2.5602,0.33013,7.4298
0.35759,0.90844,0.18612,0.64174,0.7093,0.67981,0.36881,3.1197,0.17165,1.9722,0.70088,4.4286
0.068028,1.1306,-0.36586,0.88843,0.013535,0.53561,0.078871,4.1846,-0.32103,2.2166,0.034435,3.8536
-0.59097,1.2747,-1.8293,1.0665,-0.38971,0.65726,-0.57022,4.5981,-1.6111,2.8901,-0.38122,4.7986
-0.3154,0.79548,0.20195,0.15822,0.12408,0.58914,-0.32885,1.8949,0.21416,0.41514,0.11664,3.1297
-0.50202,1.2869,-0.26028,1.6814,-0.71125,0.64289,-0.54521,4.7237,-0.23375,5.6135,-0.67979,4.5403
0.14783,0.59752,-0.21418,0.56545,-0.27325,0.55129,0.15825,1.9009,-0.21905,1.9164,-0.26777,3.8091
-0.10579,0.89078,-0.3116,0.66119,-0.095849,0.58702,-0.12651,2.6445,-0.3067,2.1105,-0.098427,3.8432
-0.10723,0.87144,0.16201,0.78847,-0.54713,0.6014,-0.11638,2.5515,0.16674,2.1452,-0.54275,4.0625
-0.052038,0.30221,0.012915,0.26015,-0.093647,0.3678,-0.026848,0.83919,0.017241,0.70999,-0.09318,2.3166
0.2676,0.57042,0.141,0.72929,0.13863,0.63484,0.23985,1.7703,0.12722,2.0305,0.10145,3.857
0.23444,0.91673,0.25357,1.2979,0.24424,1.2233,0.24119,2.6632,0.25457,3.9927,0.27608,7.7048
