corS,corP,rtS,rtP
0.791666666666667,0.864583333333333,1.12306184973568,1.24968039989471
0.739583333333333,0.65625,1.00045375000082,1.19732850000037
0.677083333333333,0.708333333333333,3.06708220002474,2.81651850001072
0.697916666666667,0.677083333333333,1.57736040005693,1.62370344996452
0.75,0.770833333333333,1.43301815004088,1.43524844996864
0.625,0.708333333333333,1.62311029998818,1.75135765003506
0.760416666666667,0.791666666666667,1.62349390005693,1.72007189993747
0.604166666666667,0.666666666666667,2.87540639995132,3.2361694999272
0.78125,0.770833333333333,2.21140084997751,2.27998524997383
0.75,0.697916666666667,2.11378194997087,2.07542965002358
0.885416666666667,0.947916666666667,2.07397095009219,2.29105070000514
0.729166666666667,0.708333333333333,2.05319080001209,1.79740040004253
0.760416666666667,0.791666666666667,2.48193220002577,2.534239850007
0.84375,0.854166666666667,1.72500599990599,2.09563980007078
0.760416666666667,0.78125,0.829656250076368,0.815917850006372
0.635416666666667,0.708333333333333,1.67185935005546,1.55606859992258
0.854166666666667,0.802083333333333,2.03602104983293,1.88030089996755
0.833333333333333,0.854166666666667,2.3907069999259,2.27407789998688
0.791666666666667,0.895833333333333,2.09910845011473,1.92887289985083
0.697916666666667,0.65625,1.33463725005277,1.51834014989436
0.96875,0.916666666666667,2.55923219979741,2.45227904990315
0.84375,0.697916666666667,1.64755614986643,1.74599034991115
0.604166666666667,0.541666666666667,0.88237370015122,0.862112399889156
0.625,0.6875,1.25932780000585,1.47918575000222
0.791666666666667,0.75,1.98250629998802,2.06640219999827
0.697916666666667,0.697916666666667,1.06870104998234,1.06334330001846
0.75,0.729166666666667,1.29276320012286,1.46196744998451
0.84375,0.822916666666667,1.74782215012237,1.75107974989805
0.729166666666667,0.697916666666667,0.746534449746832,0.736722150119022
0.708333333333333,0.833333333333333,1.8997272499837,1.58717559999786
0.854166666666667,0.895833333333333,2.1348661002703,2.33666024985723
0.854166666666667,0.760416666666667,2.58757355017588,2.54960784967989
